id,name,name_hira,tel,email,post_code,prefectures_id,municipality_id,remaining_address,person_eat_id,order_plan_category_id,tel_other,scd_site_code,access_at,devise,scd_site_lp,form,admin_comment,area_code_id
1,山田1,やまだ1,090-1234-1234,1234@gmail.com,7,7,2,1丁目3番地,1,9,070-9876-5432,3,2020/3/19 12:34,PC,https://lifood.jp/lps/LP55/,,運営用のコメント1,5
2,山田2,やまだ2,090-1234-1235,1235@gmail.com,4,5,3,1丁目4番地,2,7,070-9876-5433,3,2020/3/20 12:34,SP,https://kodawari-chef.com/?utm_source=yahoo&utm_medium=cpc&yclid=YSS.1001070586.EAIaIQobChMIuJyw38aS7QIVV3RgCh1SSwk4EAAYAiAAEgKk9_D_BwE,,運営用のコメント2,7
3,山田3,やまだ3,090-1234-1236,1236@gmail.com,3,1,2,1丁目5番地,3,6,070-9876-5434,5,2020/3/21 12:34,PC,https://lifood.jp/lps/LP55/?scd=hontai_redirect_1,,運営用のコメント3,3
4,山田4,やまだ4,090-1234-1237,1237@gmail.com,5,3,2,1丁目6番地,4,1,070-9876-5435,4,2020/3/22 12:34,SP,https://lifood.jp/lps/LP55/,,運営用のコメント4,10
5,山田5,やまだ5,090-1234-1238,1238@gmail.com,6,2,2,1丁目7番地,5,10,070-9876-5436,6,2020/3/23 12:34,PC,https://kodawari-chef.com/?utm_source=yahoo&utm_medium=cpc&yclid=YSS.1001070586.EAIaIQobChMIuJyw38aS7QIVV3RgCh1SSwk4EAAYAiAAEgKk9_D_BwE,,運営用のコメント5,8
6,山田6,やまだ6,090-1234-1239,1239@gmail.com,2,8,8,1丁目8番地,1,7,070-9876-5437,7,2020/3/24 12:34,SP,https://lifood.jp/lps/LP55/?scd=hontai_redirect_1,,運営用のコメント6,7
7,山田7,やまだ7,090-1234-1240,1240@gmail.com,7,6,6,1丁目9番地,2,8,070-9876-5438,7,2020/3/25 12:34,PC,https://lifood.jp/lps/LP55/,,運営用のコメント7,1
8,山田8,やまだ8,090-1234-1241,1241@gmail.com,5,9,4,1丁目10番地,3,4,070-9876-5439,7,2020/3/26 12:34,SP,https://kodawari-chef.com/?utm_source=yahoo&utm_medium=cpc&yclid=YSS.1001070586.EAIaIQobChMIuJyw38aS7QIVV3RgCh1SSwk4EAAYAiAAEgKk9_D_BwE,,運営用のコメント8,10
9,山田9,やまだ9,090-1234-1242,1242@gmail.com,3,6,1,1丁目11番地,4,7,070-9876-5440,10,2020/3/27 12:34,PC,https://lifood.jp/lps/LP55/?scd=hontai_redirect_1,,運営用のコメント9,3
10,山田10,やまだ10,090-1234-1243,1243@gmail.com,3,1,4,1丁目12番地,5,6,070-9876-5441,9,2020/3/28 12:34,SP,https://lifood.jp/lps/LP55/,,運営用のコメント10,5
11,山田11,やまだ11,090-1234-1244,1244@gmail.com,3,3,7,1丁目13番地,1,7,070-9876-5442,6,2020/3/29 12:34,PC,https://kodawari-chef.com/?utm_source=yahoo&utm_medium=cpc&yclid=YSS.1001070586.EAIaIQobChMIuJyw38aS7QIVV3RgCh1SSwk4EAAYAiAAEgKk9_D_BwE,,運営用のコメント11,2
12,山田12,やまだ12,090-1234-1245,1245@gmail.com,3,9,1,1丁目14番地,2,7,070-9876-5443,5,2020/3/30 12:34,SP,https://lifood.jp/lps/LP55/?scd=hontai_redirect_1,,運営用のコメント12,5
13,山田13,やまだ13,090-1234-1246,1246@gmail.com,4,6,9,1丁目15番地,3,1,070-9876-5444,4,2020/3/31 12:34,PC,https://lifood.jp/lps/LP55/,,運営用のコメント13,4
14,山田14,やまだ14,090-1234-1247,1247@gmail.com,5,6,8,1丁目16番地,4,2,070-9876-5445,9,2020/4/1 12:34,SP,https://kodawari-chef.com/?utm_source=yahoo&utm_medium=cpc&yclid=YSS.1001070586.EAIaIQobChMIuJyw38aS7QIVV3RgCh1SSwk4EAAYAiAAEgKk9_D_BwE,,運営用のコメント14,5
15,山田15,やまだ15,090-1234-1248,1248@gmail.com,3,10,3,1丁目17番地,5,6,070-9876-5446,8,2020/4/2 12:34,PC,https://lifood.jp/lps/LP55/?scd=hontai_redirect_1,,運営用のコメント15,3
16,山田16,やまだ16,090-1234-1249,1249@gmail.com,6,5,2,1丁目18番地,1,5,070-9876-5447,1,2020/4/3 12:34,SP,https://lifood.jp/lps/LP55/,,運営用のコメント16,7
17,山田17,やまだ17,090-1234-1250,1250@gmail.com,2,8,9,1丁目19番地,2,3,070-9876-5448,4,2020/4/4 12:34,PC,https://kodawari-chef.com/?utm_source=yahoo&utm_medium=cpc&yclid=YSS.1001070586.EAIaIQobChMIuJyw38aS7QIVV3RgCh1SSwk4EAAYAiAAEgKk9_D_BwE,,運営用のコメント17,10
18,山田18,やまだ18,090-1234-1251,1251@gmail.com,5,3,4,1丁目20番地,3,1,070-9876-5449,7,2020/4/5 12:34,SP,https://lifood.jp/lps/LP55/?scd=hontai_redirect_1,,運営用のコメント18,6
19,山田19,やまだ19,090-1234-1252,1252@gmail.com,3,2,6,1丁目21番地,4,3,070-9876-5450,9,2020/4/6 12:34,PC,https://lifood.jp/lps/LP55/,,運営用のコメント19,9
20,山田20,やまだ20,090-1234-1253,1253@gmail.com,9,1,5,1丁目22番地,5,9,070-9876-5451,2,2020/4/7 12:34,SP,https://kodawari-chef.com/?utm_source=yahoo&utm_medium=cpc&yclid=YSS.1001070586.EAIaIQobChMIuJyw38aS7QIVV3RgCh1SSwk4EAAYAiAAEgKk9_D_BwE,,運営用のコメント20,2
21,山田21,やまだ21,090-1234-1254,1254@gmail.com,4,6,7,1丁目23番地,1,2,070-9876-5452,2,2020/4/8 12:34,PC,https://lifood.jp/lps/LP55/?scd=hontai_redirect_1,,運営用のコメント21,4
22,山田22,やまだ22,090-1234-1255,1255@gmail.com,1,9,1,1丁目24番地,2,2,070-9876-5453,1,2020/4/9 12:34,SP,https://lifood.jp/lps/LP55/,,運営用のコメント22,3
23,山田23,やまだ23,090-1234-1256,1256@gmail.com,7,4,2,1丁目25番地,3,9,070-9876-5454,10,2020/4/10 12:34,PC,https://kodawari-chef.com/?utm_source=yahoo&utm_medium=cpc&yclid=YSS.1001070586.EAIaIQobChMIuJyw38aS7QIVV3RgCh1SSwk4EAAYAiAAEgKk9_D_BwE,,運営用のコメント23,7
24,山田24,やまだ24,090-1234-1257,1257@gmail.com,3,8,10,1丁目26番地,4,1,070-9876-5455,2,2020/4/11 12:34,SP,https://lifood.jp/lps/LP55/?scd=hontai_redirect_1,,運営用のコメント24,9
25,山田25,やまだ25,090-1234-1258,1258@gmail.com,3,10,3,1丁目27番地,5,6,070-9876-5456,8,2020/4/3 12:34,SP,https://lifood.jp/lps/LP55/,,運営用のコメント25,8
26,山田26,やまだ26,090-1234-1259,1259@gmail.com,6,5,2,1丁目28番地,1,5,070-9876-5457,1,2020/4/4 12:34,PC,https://kodawari-chef.com/?utm_source=yahoo&utm_medium=cpc&yclid=YSS.1001070586.EAIaIQobChMIuJyw38aS7QIVV3RgCh1SSwk4EAAYAiAAEgKk9_D_BwE,,運営用のコメント26,3
27,山田27,やまだ27,090-1234-1260,1260@gmail.com,2,8,9,1丁目29番地,2,3,070-9876-5458,4,2020/4/5 12:34,SP,https://lifood.jp/lps/LP55/?scd=hontai_redirect_1,,運営用のコメント27,2
28,山田28,やまだ28,090-1234-1261,1261@gmail.com,5,3,4,1丁目30番地,3,1,070-9876-5459,7,2020/4/6 12:34,PC,https://lifood.jp/lps/LP55/,,運営用のコメント28,9
29,山田29,やまだ29,090-1234-1262,1262@gmail.com,3,2,6,1丁目31番地,4,3,070-9876-5460,9,2020/4/7 12:34,SP,https://kodawari-chef.com/?utm_source=yahoo&utm_medium=cpc&yclid=YSS.1001070586.EAIaIQobChMIuJyw38aS7QIVV3RgCh1SSwk4EAAYAiAAEgKk9_D_BwE,,運営用のコメント29,4
